Site,Coordinates ,Source for Coordinates,"Decimal Degrees Coordinates (Latitude, Longitude)",Family1,Genus1,species,subspecies,Name as described2,Distribution3 ,Lifeform/Habit4,Original plant part descriptions,Part consumed: Leaf,Part consumed: Fruit,Part consumed: Seed,Part consumed: Flower,Part consumed: Other,Part consumed: Unknown,Source for part consumed,Common name,Source for common name
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Nonoka,*,*,mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Sipotiky,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Trakavola,*,*,new leaf; mature leaf,leaf (immature and mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Tsimahavanono,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Tsipotika,*,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Tsiriky,*,*,mature leaf; flower,leaf (mature),*,*,flower,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Tsivonjavonja,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Vahimbitsika,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Voatavo,*,*,new leaf; mature leaf,leaf (immature and mature),*,*,*,*,*,Razafindramanana (2011),*,*
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",*,*,*,*,Volombato,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Aphloiaceae ,Aphloia ,theiformis,*,Aphloia theiformis,Native Not Endemic,"Shrub, tree",?,*,*,*,*,*,?,Goodman et al. (2006),Voafotsy ,Gabriel (2013)
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Asphodelaceae,Aloe ,andringitrensis,*,Aloe andringitrensis,Endemic,"Herb, leaf succulent",succulent leaves,leaf (succulent),*,*,*,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Asteraceae,Helichrysum ,sp. (unable to identify species name),*,Helichrysum cf. otiphnocephalum,Family or Genus Not Endemic to Malagasy Region,*,leaf tips; flowers,leaf (tips),*,*,flower,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Asteraceae,Helichrysum ,syncephaloides,*,Helichrysum syncephaloides,Endemic,Shrub,leaf tips; flowers,leaf (tips),*,*,flower,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Asteraceae,Senecio ,melastomifolius,*,Senecio melastomaefolius (SIC),Endemic,"Herb, leaf succulent, shrub",leaf tips; flowers,leaf (tips),*,*,flower,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Asteraceae,Senecio ,spp.,*,Senecio spp.,Family or Genus Not Endemic to Malagasy Region,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Asteropeiaceae,Asteropeia ,micraster,*,Asteropeia micraster,Endemic,"Shrub, tree",?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Blechnaceae,Blechnum ,tabulare,*,Blechnum tabularae (SIC),Native Not Endemic,Herb,young fronds,frond (immature),*,*,*,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Crassulaceae,Kalanchoe ,bergeri,*,Kalanchoe cf. bergeri,Endemic,"Herb, leaf succulent",leaves; flowers,leaf,*,*,flower,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Crassulaceae,Kalanchoe ,jongmansii,*,Kalanchoe jongmansi (SIC),Endemic,"Herb, leaf succulent, shrub",leaves; flowers,leaf,*,*,flower,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Crassulaceae,"Genus placeholder, as currently circumscribed, not represented in Madagascar",*,*,Sedum sp.,*,*,leaves; flowers,leaf,*,*,flower,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Ericaceae,Agarista ,salicifolia,*,Agauria salicifolia,*,Shrub,young leaves,leaf (immature),*,*,*,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Ericaceae,Erica ,spp.,*,Erica spp.,Family or Genus Not Endemic to Malagasy Region,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Ericaceae,Genus placeholder for Erica,*,*,Philippia spp.,*,*,young leaves,leaf (immature),*,*,*,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Ericaceae,Vaccinium ,madagascariense,*,Vaccinium emirnense,Endemic,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Ericaceae,Vaccinium ,secundiflorum,*,Vaccinium secondiflorumi (SIC),Endemic,Shrub,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Fabaceae,Acacia ,spp.,*,Acacia spp.,Not Endemic,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Lamiaceae,Vitex ,spp.,*,Vitex spp.,Family or Genus Not Endemic to Malagasy Region,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Moraceae,Ficus ,rubra,*,Ficus pyrifolia,*,Tree,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Moraceae,Ficus ,spp.,*,Ficus spp.,Family or Genus Not Endemic to Malagasy Region,*,?,*,*,*,*,*,?,Goodman et al. (2006),Abado; Carica; Hopy; Nononka ,Gabriel (2013)
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Myrtaceae,Syzygium ,spp.,*,Syzygium spp.,Family or Genus Not Endemic to Malagasy Region,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Primulaceae,Maesa ,lanceolata,*,Maaesa lanceolata ,Naturalized,"Shrub, tree",?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Rubiaceae,Anthospermum ,madagascariense,*,Anthospermum madagascariense,Endemic,Shrub,leaf tips,leaf (tips),*,*,*,*,*,Goodman & Langrand (1996),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Rubiaceae,"Genus placeholder, as currently circumscribed, not represented in Madagascar",*,*,Canthium variistipula ,*,*,?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Salicaceae,Homalium ,spp.,*,Homalium spp.,Family or Genus Not Endemic to Malagasy Region,*,?,*,*,*,*,*,?,Goodman et al. (2006),Hazomby ,Gade (1996)
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Scrophulariaceae,Buddleja ,madagascariensis,*,Buddleja madagascariensis,Endemic,Shrub,?,*,*,*,*,*,?,Goodman et al. (2006),Sevafotsy ,Gabriel (2013)
Andringitra Massif ,"22 11 S, 46 54 E and 22 10 S, 46 53 E",Goodman and Langrand (1996),"-22.183333333333334, 46.9 and -22.166666666666668, 46.88333333333333",Solanaceae,Solanum ,mauritianum,*,Solanum auriculatum,Naturalized,"Shrub, tree",?,*,*,*,*,*,?,Goodman et al. (2006),*,*
Anja Reserve,"21 51 S, 46 50 E",Gabriel (2013),"-21.85, 46.833333333333336",Acanthaceae ,Justicia ,gendarussa,*,Justicia gendarussa,"Not Endemic or Native (Gabriel, 2013)",*,leaves,leaf,*,*,*,*,*,Gabriel (2013),Dinga dinga ,Gabriel (2013)
Anja Reserve,"21 51 S, 46 50 E",Gabriel (2013),"-21.85, 46.833333333333336",Apocynaceae,Carissa ,spinarum,*,Carissa spinarum,"Not Endemic or Native (Gabriel, 2013)","Shrub, tree",fruit,*,fruit,*,*,*,*,Gabriel (2013),Fantsimbala ,Gabriel (2013)
Anja Reserve,"21 51 S, 46 50 E",Gabriel (2013),"-21.85, 46.833333333333336",Asteraceae,Bidens ,pilosa,*,Bidens pilosa,Native Not Endemic,Herb,?,*,*,*,*,*,?,Gould & Gabriel (2015),*,*
Anja Reserve,"21 51 S, 46 50 E",Gabriel (2013),"-21.85, 46.833333333333336",Capparaceae,Capparis ,spp.,*,Capparis spp.,Family or Genus Not Endemic to Malagasy Region,*,fruit,*,fruit,*,*,*,*,Gabriel (2013),Roy ,Gabriel (2013)
Anja Reserve,"21 51 S, 46 50 E",Gabriel (2013),"-21.85, 46.833333333333336",Caryophyllaceae,Cerastium ,indicum,*,Cerastium africanum,Native Not Endemic,Herb,?,*,*,*,*,*,?,Gabriel (2013),Tsivandrenikely ,Gabriel (2013)
